post_napoleonic_thought;Post-Napoleonic Thought;Pensée post-napoléonienne;Postnapoleonischer Gedanke;;Pensamiento post-napoleónico;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
joseph_schumpeter;Joseph Schumpeter;Joseph Schumpeter;Joseph Schumpeter;;Joseph Schumpeter;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
joseph_schumpeter_desc;After a quick doctorate at Vienna, Schumpeter roamed about as something of a footloose lawyer until he rejoined academia in 1909. It was while he was teaching at Czernowitz (now in the Ukraine) that he wrote his Theory of Economic Development (1911), where he first outlined his famous theory of entrepreneurship. He argued those daring spirits, entrepreneurs, created technical and financial innovations in the face of competition and falling profits - and that it was these spurts of activity which generated (irregular) economic growth. In 1919, Schumpeter became the Austrian Minister of Finance - unfortunately, presiding over the hyperinflation of the period, and thus was dismissed later that year. Although excelling as a teacher above everything, Joseph Schumpeter nonetheless completed three more books while at Harvard: his didactic Business Cycles (1939), his popular Capitalism, Socialism and Democracy (1942) - in which he famously predicted the downfall of capitalism in the hands of intellectuals.;;Nach seinem Studium in Wien arbeitete Schumpeter einige Zeite als ungebundener Rechtsanwalt, bis er 1909 seine akademische Karriere fortsetzte. Während er in Czernowitz (heute in der Ukraine) unterrichtete, schrieb er seine 'Theorie der wirtschaftlichen Entwicklung' (1911), worin er zum ersten Mal seine berühmte Theorie der Geschäftsführung umriss. Er argumentierte, dass Unternehmer wagemutige Menschen seien, die im Angesicht großer Konkurrenz und fallender Profite technische und finanzielle Innovationen lieferten - und dass es diese Aktivitätsschübe seien, die (unregelmäßiges) Wirtschaftswachstum erzeugten. 1919 wurde Schumpeter zum österreichischen Finanzminister ernannt. Leider hatte er das Amt während der damaligen Hyperinflationsphase inne und wurde nach sieben Monaten wieder entlassen. Neben seiner exzellenten Lehrtätigkeit schrieb Joseph Schumpeter während seiner Zeit an der Harvard-Universität drei weitere Bücher, darunter sein didaktisches Werk 'Konjunkturzyklen' (1939) und sein populäres Buch 'Kapitalismus, Sozialismus und DemokratieKapitalismus, Sozialismus und Demokratie(1942) - in dem er auf glänzende Art und Weise den Niedergang des Kapitalismus in den Händen der Intellektuellen voraussagte.;;Tras un rápido doctorado en Viena, Schumpeter hizo sus pinitos como abogado independiente hasta que volvi?al mundo académico en 1909.  Fue mientras daba clase en Czernowitz (ahora en Ucrania) cuando escribi?su 'Teoría de desarrollo económico' (1911), donde perfil?por primera vez su famosa teoría sobre el empresariado. Argumentaba que esos espíritus valientes, los empresarios, crearon innovaciones técnicas y financieras a causa de la competencia y de los beneficios decrecientes (y que fueron esas rachas de actividad las que generaron un irregular crecimiento económico). En 1919, Schumpeter se convirti?en el ministro austríaco de Economía. Desgraciadamente, presidi?durante un periodo de hiperinflación, por lo que a finales de ese año fue destituido. Aunque fue un excelente profesor, Joseph Schumpeter escribi?varios libros durante su estancia en Harvard: sus didácticos 'Ciclos de los negocios' (1939) y su famoso 'Capitalismo, Socialismo y Democracia' (1942), donde predijo la caída del capitalismo a manos de los intelectuales.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eugen_von_böhm_bawerk;Eugen von Böhm-Bawerk;Eugen von Böhm-Bawerk;Eugen von Böhm-Bawerk;;Eugen von Böhm-Bawerk;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eugen_von_böhm_bawerk_desc;Böhm-Bawerk's career as a scholar was an intermittent one. The most significant span of scholarly activity was his years at the University of Innsbruck (1881-1889). It was during the 1880s that he first published two of the three volumes of his magnum opus, Capital and Interest. His later years were dominated by his duties as the Austrian Minister of Finance, a position he held, though not continuously, throughout the 1890s and beyond-and for which he is fittingly Honoured by having his likeness on Austria's one-hundred schilling note. After serving in this capacity and assuming other governmental duties, he returned to teaching in 1904. With a chair at the University of Vienna, he became a colleague of Wieser, successor to the retired Menger. Students who passed through the university during the last decade of Böhm-Bawerk's career (and life: he died in 1914) included Joseph Schumpeter and Ludwig von Mises.;;Böhm-Bawerks Karriere als Gelehrter verlief unregelmäßig. Seine bedeutendste wissenschaftliche Phase verlebte er von 1881 bis 1889 an der Universität Innsbruck. Während der 1880er Jahre veröffentlichte er auch zwei der drei Bände seines Meisterwerks 'Kapital und Kapitalzins'. Sein Leben war während der 1890er Jahre bis 1904 von seinem Dienst als österreichischer Finanzminister geprägt, obwohl er dieses Amt nicht kontinuierlich bekleidete. Für seine Dienste wurde er passenderweise durch die Abbildung seines Portraits auf Österreichs 100-Schilling-Geldschein geehrt. Nach einigen Jahren im Regierungsdienst und nach der Niederlegung seines Amtes kehrte er 1904 wieder in den Lehrbetrieb zurück. Er erhielt einen Lehrstuhl an der Universität Wien und wurde ein Kollege von Wieser, dem Nachfolger des pensionierten Mengers. Zu den Studenten, die während des letzten Jahrzehnts von Böhm-Bawerks Karriere (und Leben: Er starb 1914) dort ausgebildet wurden, zählten Joseph Schumpeter und Ludwig von Mises.;;La carrera de Böhm-Bawerk como erudito fue recurrente. El periodo más significativo de actividad intelectual fue durante sus años en la Universidad de Innsbruck (1881-1889). Public?dos de los tres volúmenes de su obra magna, 'Capital e interés' en la década de 1880. Sus últimos años estuvieron dominados por sus obligaciones como ministro austriaco de Economía, puesto que conserv? aunque sin continuidad, en la década de 1890 y en años posteriores. Como reconocimiento, se le honr?colocando su retrato en el billete de cien chelines. Tras servir en dicho puesto y asumir otras tareas gubernamentales, volvi?a la enseñanza en 1904. Con una cátedra en la universidad de Viena, se convirti?en colega de Wieser, sucesor del jubilado Menger. Entre los estudiantes que fueron a la universidad durante la última década de la carrera (y vida) de Böhm-Bawerk, que muri?en 1914, estuvieron Joseph Schumpeter y Ludwig von Mises.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
keynesian_economics;Keynesian Economics;Économie keynésienne;Keynesianische Ökonomie;;Economía keynesiana;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
keynesian_economics_desc;Keynesian Economics;Économie keynésienne;Keynesianische Ökonomie;;Economía keynesiana;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
john_maynard_keynes;John Maynard Keynes;John Maynard Keynes;John Maynard Keynes;;John Maynard Keynes;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
john_maynard_keynes_desc;An English economist who challenged the orthodox view of the role of the State in the management of economic forces in society and the relationship between supply and demand in times of economic crisis. Drawing upon the abilities of states to mobilize their economies during wars with other industrial nations, Keynes maintained that the State could use its influence to promote more efficient economic development. But his most radical theory involved the role of aggregate demand in the economy, arguing that it was demand, not supply, that was the final determinant in the levels of output and growth that an economy could produce, and that in times of economic slowdown or crisis, the solution to the crisis involved revival of demand to absorb excess supply and create the conditions for a revival of production to meet further increases in demand. While his theories had many critics, they became highly influential as the twentieth century progressed;;Keynes war ein englischer Ökonom, der die orthodoxe Meinung über die Rolle des Staats als Verwalter der gesellschaftlichen Wirtschaftskräfte und die Beziehung von Angebot und Nachfrage in Zeiten der Wirtschaftskrise herausforderte. Keynes stützte sich auf die Fähigkeiten von Staaten, ihre Wirtschaftssysteme während Kriegen mit anderen Industrienationen zu mobilisieren und blieb bei seiner Ansicht, der Staat könne seinen Einfluss zur Förderung einer effizienteren Wirtschaftsentwicklung nutzen. Seine radikalste Theorie jedoch drehte sich um die Rolle der gesamtwirtschaftlichen Nachfrage: Keynes argumentierte, dass die Nachfrage und nicht das Angebot die ausschlaggebende Determinante für die Leistung und das Wachstum der Wirtschaft sei, und dass in Zeiten wirtschaftlichen Rückgangs oder während Krisen die Lösung in der Nachfragesteigerung läge, um überschüssiges Angebot zu absorbieren und die Bedingungen zur Wiederbelebung der Produktion zur Sättigung weiterer Nachfragesteigerungen zu schaffen. Obwohl viele seine Theorien kritisierten, wurden sie im Verlauf des zwanzigsten Jahrhunderts äußerst einflussreich.;;Un economista inglés que cuestion?la visión ortodoxa del papel del estado en la gestión de las fuerzas económicas en la sociedad y la relación entre la oferta y la demanda en tiempos de crisis económicas. Basándose en la capacidad de los estados para movilizar sus economías en tiempos de guerra con otros países industrializados, Keynes lleg?a la conclusión de que el estado podía utilizar su influencia para fomentar de manera eficaz el desarrollo económico. Pero su teoría más radical fue la del papel de la demanda agregada en la economía, que sostenía que es la demanda, y no la oferta, la que determina los niveles de producción y crecimiento de una economía y que en tiempos de ralentización económica o crisis la solución pasa por absorber el exceso de oferta y crear las condiciones para un aumento de la producción capaz de hacer frente a aumentos de la demanda. Aunque sus teorías recibieron muchas críticas, fueron haciéndose cada vez más influyentes a medida que avanzaba el siglo XX.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
richard_kahn;Richard Kahn;Richard Kahn;Richard Kahn;;Richard Kahn;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
richard_kahn_desc;An English economist who first developed the concept of the multiplier effect of spending in an economy in the early 1930s. At its base, this is the concept that spending in the economy for goods and services produced new potentials for demand by the providers of those initial goods and services, creating an expansion of demand beyond the initial value of the original spending. Adopted by John Maynard Keynes in his concept of the role of aggregate demand in the functioning of the economy, the concept of the multiplier effect would be increasingly adopted by States facing economic slowdowns by encouraging the State itself to increase its spending in the economy as a way to revive weakened demand and restore economic growth;;Kahn war ein englischer Ökonom, der Anfang der 1930er Jahre das Konzept des Multiplikatoreffekts von Ausgaben in einer Wirtschaft entwickelt. Die Grundlage dieses Konzepts war, dass Ausgaben für Güter und Dienstleistungen neues Nachfragepotential durch die anfänglichen Anbieter dieser Güter erzeugte, was zur Nachfrageerweiterung über den Wert der Anfangsausgaben hinaus führte. Das Konzept des Multiplikatoreffekts, das sich auch John Maynard Keynes bei der Erstellung seines Konzepts der gesamtwirtschaftliche Nachfrage zunutze machte, wurde zunehmend von Staaten übernommen, die unter wirtschaftlichen Schieflagen litten. Mit Hilfe dieses Konzepts sollte der Staat selbst seine Ausgaben in der Wirtschaft erhöhen, um die geschwächte Nachfrage wieder zu beleben und das Wirtschaftswachstum wieder anzukurbeln.;; Un economista británico que fue el creador del concepto del efecto multiplicador del gasto sobre la economía, a principios de la década de los 30. En su base, la idea es que gastar en la economía de bienes y servicios genera potencial de demanda por parte de los proveedores de esos bienes y servicios iniciales, lo que crea una expansión de la demanda superior al valor del gasto inicial. Adoptado por John Maynard Keynes en su idea del papel de la demanda agregada en el funcionamiento de la economía, el concepto del efecto multiplicador sería utilizado cada vez con más frecuencia por estados amenazados por la ralentización económica, que tomaron sobre sus hombros la responsabilidad de aumentar sus gastos para reactivar una demanda debilitada y restaurar el crecimiento económico.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
